5000 8000
1929 4926 4
4926 1229 41
1229 1734 90
1734 1505 65
1505 2048 190
2048 4386 175
4386 4192 27
4192 4220 156
4220 2991 40
2991 1227 33
1227 1829 117
1829 4556 38
4556 2665 151
2665 2573 79
2573 3308 17
3308 4138 36
4138 1827 100
1827 2432 37
2432 3838 101
3838 893 41
893 2139 120
2139 4407 4
4407 1346 105
1346 3562 107
3562 3393 154
3393 1050 106
1050 498 20
498 597 200
597 4357 138
4357 84 176
84 4134 42
4134 4808 8
4808 217 98
217 4761 163
4761 838 198
838 4657 154
4657 911 173
911 4128 28
4128 1277 30
1277 1041 44
1041 4004 46
4004 437 100
437 454 161
454 3789 181
3789 3781 10
3781 4222 139
4222 2252 162
2252 4152 104
4152 351 28
351 2200 39
2200 157 26
157 4885 4
4885 1766 33
1766 938 40
938 3556 27
3556 4279 197
4279 2869 62
2869 4360 69
4360 574 198
574 238 112
238 1849 31
1849 1296 41
1296 1617 110
1617 2793 134
2793 2402 120
2402 4883 72
4883 2394 81
2394 4836 195
4836 2496 176
2496 4356 130
4356 2841 195
2841 3861 88
3861 3794 11
3794 1289 83
1289 4515 171
4515 3676 59
3676 1373 171
1373 2321 181
2321 1237 150
1237 4586 166
4586 2892 33
2892 2574 74
2574 4834 29
4834 3423 46
3423 251 141
251 744 103
744 4734 21
4734 2732 156
2732 929 73
929 782 19
782 2474 70
2474 1144 127
1144 1422 127
1422 3107 154
3107 71 87
71 111 108
111 4604 72
4604 3666 21
3666 1187 152
1187 3888 106
3888 2721 114
2721 2149 4
2149 1215 169
1215 841 181
841 4938 19
4938 1546 137
1546 4086 190
4086 1117 55
1117 4091 151
4091 492 59
492 4900 188
4900 3327 165
3327 2438 121
2438 4963 19
4963 2896 124
2896 699 125
699 4464 69
4464 4535 156
4535 3136 158
3136 4628 33
4628 3637 123
3637 2799 146
2799 2624 171
2624 4227 157
4227 3665 114
3665 279 58
279 3489 11
3489 4886 155
4886 1420 88
1420 1219 193
1219 1133 2
1133 4069 129
4069 4428 171
4428 3897 52
3897 1332 104
1332 4830 44
4830 4395 10
4395 4083 54
4083 434 101
434 164 30
164 2583 181
2583 796 138
796 1021 23
1021 3264 133
3264 1382 35
1382 1163 153
1163 781 136
781 4729 177
4729 4740 50
4740 1757 103
1757 4648 138
4648 124 69
124 3674 104
3674 283 20
283 4248 175
4248 4538 181
4538 4699 155
4699 2743 51
2743 381 148
381 2539 135
2539 2133 119
2133 1004 12
1004 4453 165
4453 2195 177
2195 2073 196
2073 4330 21
4330 1169 28
1169 3623 5
3623 713 162
713 3454 150
3454 544 26
544 475 17
475 1257 11
1257 829 156
829 636 47
636 1930 192
1930 2594 61
2594 1869 117
1869 1397 1
1397 1161 17
1161 4140 171
4140 1955 143
1955 3315 7
3315 1123 198
1123 870 82
870 4459 15
4459 119 120
119 2447 21
2447 905 161
905 3444 110
3444 4110 58
4110 3731 137
3731 1249 71
1249 1418 132
1418 4292 5
4292 4760 85
4760 4590 99
4590 904 169
904 627 36
627 40 7
40 1790 199
1790 2575 118
2575 2185 107
2185 603 171
603 3945 122
3945 1283 106
1283 2642 162
2642 4682 123
4682 3310 30
3310 3262 35
3262 4054 51
4054 1023 186
1023 3670 6
3670 2951 127
2951 2322 41
2322 4708 85
4708 1494 124
1494 1623 28
1623 4367 59
4367 3081 22
3081 1432 87
1432 2136 38
2136 2863 189
2863 1416 39
1416 4788 164
4788 1343 115
1343 4797 181
4797 1273 82
1273 4198 105
4198 1805 180
1805 3506 104
3506 4935 119
4935 3253 79
3253 589 125
589 404 84
404 1885 179
1885 1106 87
1106 2840 193
2840 315 194
315 3482 108
3482 443 103
443 489 101
489 3768 54
3768 2112 27
2112 1226 33
1226 2319 61
2319 1763 106
1763 2368 185
2368 4403 26
4403 3187 145
3187 2219 162
2219 2870 169
2870 2791 198
2791 3814 69
3814 4390 97
4390 3353 188
3353 4798 53
4798 3460 33
3460 1307 76
1307 867 1
867 4486 194
4486 3376 27
3376 1363 198
1363 765 89
765 2523 97
2523 3808 108
3808 756 198
756 2729 181
2729 1535 54
1535 1239 54
1239 1333 165
1333 806 180
806 4034 113
4034 4721 162
4721 1815 15
1815 3643 147
3643 1779 60
1779 4576 193
4576 4042 143
4042 704 17
704 2087 187
2087 376 169
376 4322 12
4322 2180 158
2180 4161 195
4161 2455 129
2455 290 131
290 3232 32
3232 661 127
661 2052 65
2052 4434 128
4434 573 165
573 245 76
245 4452 102
