1001 1500
849 547 11
547 538 39
538 696 115
696 64 34
64 981 119
981 856 87
856 413 34
413 744 58
744 37 196
37 408 132
408 415 68
415 905 68
905 824 96
824 898 19
898 158 60
158 293 184
293 308 197
308 624 174
624 65 135
65 892 123
892 146 146
146 967 107
967 977 154
977 440 2
440 42 127
42 618 3
618 497 39
497 596 106
596 402 163
402 83 3
83 584 77
584 208 134
208 216 186
216 303 77
303 837 113
837 501 52
501 910 30
910 587 61
587 742 153
742 5 58
5 122 73
122 436 157
436 453 137
453 332 93
332 600 108
600 277 42
277 536 64
536 101 36
101 350 63
350 891 43
891 156 158
156 833 109
833 272 116
272 937 180
937 542 102
542 949 139
949 577 44
577 727 148
727 573 38
573 237 163
237 844 106
844 240 153
240 593 120
593 989 52
989 769 140
769 160 4
160 159 44
159 334 139
334 247 147
247 437 29
437 454 185
454 608 191
608 26 114
26 927 123
927 557 121
557 923 186
923 291 26
291 640 143
640 962 99
962 174 103
174 29 136
29 662 146
662 14 151
14 721 7
721 250 30
250 743 94
743 997 75
997 452 23
452 928 187
928 781 67
781 638 169
638 227 51
227 872 148
872 973 89
973 70 172
70 110 168
110 351 61
351 335 78
335 528 171
528 734 63
734 407 111
407 925 12
925 141 183
141 840 132
840 238 150
238 138 42
138 271 62
271 310 11
310 648 58
648 491 134
491 897 28
897 859 158
859 363 196
363 510 104
510 996 135
996 698 26
698 771 141
771 636 102
636 788 32
788 50 112
50 546 23
546 35 22
35 613 95
613 31 41
31 252 159
252 278 166
278 782 69
782 153 55
153 983 2
983 417 74
417 17 46
17 472 175
472 966 196
966 995 96
995 270 63
270 462 122
462 704 153
704 320 18
320 433 148
433 163 166
163 578 48
578 795 56
795 773 198
773 431 83
431 722 21
722 398 77
398 780 130
780 789 18
789 53 122
53 567 57
567 559 30
559 123 23
123 641 119
641 282 112
282 338 67
338 868 53
868 685 148
685 348 103
348 380 69
380 470 165
470 960 36
960 46 78
46 947 35
947 713 52
713 652 174
652 198 169
198 210 155
210 494 33
494 712 56
712 389 7
389 543 53
543 474 161
474 889 174
889 828 169
828 635 55
635 239 86
239 161 7
161 585 36
585 932 196
932 95 182
95 302 6
302 955 156
955 461 165
461 255 121
255 869 93
869 126 156
126 118 148
118 419 150
419 904 90
904 456 131
456 508 94
508 365 7
365 223 57
223 562 52
562 632 185
632 617 55
617 534 78
534 903 114
903 626 160
626 39 119
39 283 112
283 369 191
369 133 35
133 602 144
602 815 82
815 269 48
269 279 108
279 468 87
468 313 59
313 700 84
700 460 58
460 516 166
516 254 106
254 873 29
873 669 141
669 811 14
811 79 137
79 142 183
142 520 193
520 367 54
367 2 187
2 719 117
719 835 71
835 178 30
178 80 164
80 196 67
196 164 70
164 802 147
802 426 84
426 582 64
582 233 165
233 483 195
483 663 65
663 588 24
588 403 128
403 607 124
607 921 144
921 850 178
850 314 103
314 686 114
686 442 112
442 488 71
488 994 39
994 653 158
653 526 54
526 810 170
810 525 155
525 493 159
493 818 6
818 767 166
767 656 196
656 575 24
575 860 14
860 381 117
381 32 37
32 822 141
822 723 77
723 591 184
591 495 169
495 866 72
866 107 26
107 555 74
555 808 23
808 764 131
764 7 130
7 745 51
745 755 43
755 225 172
225 114 168
114 424 73
424 184 29
184 805 129
805 81 45
81 478 172
478 504 3
504 63 47
63 753 167
753 611 117
611 832 123
832 703 127
703 411 177
411 375 189
375 77 75
77 418 181
418 798 95
798 51 38
51 289 95
289 265 67
265 660 45
660 463 37
463 848 44
848 572 63
572 244 40
244 774 102
774 867 35
867 260 187
260 78 105
78 565 28
565 34 60
34 100 118
100 150 106
150 730 17
730 530 50
530 540 78
540 386 134
386 355 154
355 558 114
558 639 127
639 695 177
695 261 95
261 121 169
121 982 141
982 861 96
861 864 2
864 120 164
120 667 91
667 934 174
934 975 122
975 958 11
958 576 114
576 702 113
702 879 57
879 945 130
945 182 141
182 205 90
205 168 130
168 457 138
457 757 60
757 66 136
66 779 48
779 379 72
379 339 132
339 968 7
968 103 112
103 726 35
726 511 88
511 292 12
292 691 155
691 729 2
729 295 153
295 553 87
553 374 31
374 760 40
760 185 157
185 917 22
917 946 81
946 390 95
390 665 49
665 378 176
378 251 40
251 830 89
830 549 151
549 267 48
267 183 65
183 845 36
845 387 139
387 853 103
853 391 56
391 242 31
242 186 127
186 661 116
661 885 8
885 317 105
317 438 174
438 228 9
228 15 51
15 370 177
370 537 82
537 173 56
173 325 115
325 388 197
388 694 55
694 149 95
149 806 142
806 486 134
486 612 106
612 816 52
816 60 127
60 515 92
515 735 25
735 467 96
467 94 42
94 259 35
259 192 57
192 647 71
647 362 193
362 826 112
826 785 194
785 887 66
887 594 20
594 999 128
999 396 65
396 561 4
561 377 35
377 926 103
926 393 181
